"","Year","Name","Lg","Team","Vote_PTS","First_Place","WAR","BS_G","AB","R","BS_H","BS_HR","RBI","SB","BS_BB","BA","OBP","SLG","OPS","W","L","ERA","WHIP","PS_G","GS","SV","IP","PS_H","PS_HR","PS_BB","SO"
"32",1934,"Dizzy Dean","NL","STL",78,6,9.5,51,118,15,29,2,9,1,1,0.246,0.252,0.339,0.591,30,7,2.66,1.165,50,33,7,311.2,288,14,75,195
"33",1935,"Hank Greenberg","AL","DET",80,8,7.5,152,619,120,203,36,168,4,87,0.328,0.411,0.628,1.039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",1935,"Gabby Hartnett","NL","CHC",75,NA,4.9,116,413,67,142,13,91,1,41,0.344,0.404,0.545,0.949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",1936,"Lou Gehrig","AL","NYY",73,4,9.7,155,579,167,205,49,152,3,130,0.354,0.478,0.696,1.174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",1936,"Carl Hubbell","NL","NYG",60,6,10.1,42,110,9,25,0,8,0,3,0.227,0.248,0.236,0.484,26,6,2.31,1.059,42,34,3,304,265,7,57,123
"37",1937,"Charlie Gehringer","AL","DET",78,6,7.8,144,564,133,209,14,96,11,90,0.371,0.458,0.52,0.978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",1937,"Joe Medwick","NL","STL",70,2,8.4,156,633,111,237,31,154,4,41,0.374,0.414,0.641,1.056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",1938,"Jimmie Foxx","AL","BOS",305,19,7.5,149,565,139,197,50,175,5,119,0.349,0.462,0.704,1.166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",1938,"Ernie Lombardi","NL","CIN",229,10,4.8,129,489,60,167,19,95,0,40,0.342,0.391,0.524,0.915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",1939,"Joe DiMaggio","AL","NYY",280,15,8.3,120,462,108,176,30,126,3,52,0.381,0.448,0.671,1.119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",1939,"Bucky Walters","NL","CIN",303,18,9.8,40,120,16,39,1,16,1,5,0.325,0.357,0.433,0.79,27,11,2.29,1.125,39,36,0,319,250,15,109,137
"43",1940,"Hank Greenberg","AL","DET",292,16,6.8,148,573,129,195,41,150,6,93,0.34,0.433,0.67,1.103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",1940,"Frank McCormick","NL","CIN",274,16,5.3,155,618,93,191,19,127,2,52,0.309,0.367,0.482,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",1941,"Joe DiMaggio","AL","NYY",291,15,9.3,139,541,122,193,30,125,4,76,0.357,0.44,0.643,1.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",1941,"Dolph Camilli","NL","BRO",300,19,6.8,149,529,92,151,34,120,3,104,0.285,0.407,0.556,0.962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",1942,"Joe Gordon","AL","NYY",270,12,7.7,147,538,88,173,18,103,12,79,0.322,0.409,0.491,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",1942,"Mort Cooper","NL","STL",263,13,8.3,37,103,6,19,0,7,0,3,0.184,0.208,0.194,0.402,22,7,1.78,0.987,37,35,0,278.2,207,9,68,152
"49",1943,"Spud Chandler","AL","NYY",246,12,7.3,30,97,9,25,2,7,0,1,0.258,0.287,0.371,0.658,20,4,1.64,0.992,30,30,0,253,197,5,54,134
"50",1943,"Stan Musial","NL","STL",267,13,9.5,157,617,108,220,13,81,9,72,0.357,0.425,0.562,0.988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",1944,"Hal Newhouser","AL","DET",236,7,8.4,47,120,10,29,0,5,1,6,0.242,0.278,0.275,0.553,29,9,2.22,1.172,47,34,2,312.1,264,6,102,187
"52",1944,"Marty Marion","NL","STL",190,7,4.5,144,506,50,135,6,63,1,43,0.267,0.324,0.362,0.686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",1945,"Hal Newhouser","AL","DET",236,9,12.2,40,109,8,28,0,17,0,7,0.257,0.302,0.321,0.623,25,9,1.81,1.114,40,36,2,313.1,239,5,110,212
