"","...1","Year","Name","Lg","Team","Vote_PTS","First_Place","WAR.x","BS_G","AB","R","BS_H","BS_HR","RBI.x","SB.x","BS_BB","BA.x","OBP.x","SLG.x","OPS","W.x","L.x","ERA.x","WHIP","PS_G","GS","SV.x","IP.x","PS_H","PS_HR","PS_BB","SO.x","Tm","WAR.y","BA.y","OBP.y","SLG.y","HR","RBI.y","SB.y","W.y","L.y","SV.y","ERA.y","IP.y","SO.y","Voting","Pitcher"
"20",20,1928,"Jim Bottomley","NL","STL",76,NA,5.6,149,576,123,187,31,136,10,71,0.325,0.402,0.628,1.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STL",5.6,0.325,0.402,0.628,31,136,10,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"21",21,1929,"Lew Fonseca","AL","CLE",77,2,5.6,148,566,97,209,6,103,19,50,0.369,0.427,0.532,0.959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CLE",5.6,0.369,0.427,0.532,6,103,19,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"22",22,1929,"Rogers Hornsby","NL","CHC",60,3,10.6,156,602,156,229,39,149,2,87,0.38,0.459,0.679,1.139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHC",10.6,0.38,0.459,0.679,39,149,2,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"23",23,1930,"Joe Cronin","AL","WSH",100,3,8.5,154,587,127,203,13,126,17,72,0.346,0.422,0.513,0.934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WSH",8.5,0.346,0.422,0.513,13,126,17,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"24",24,1930,"Hack Wilson","NL","CHC",111,3,7.4,155,585,146,208,56,191,3,105,0.356,0.454,0.723,1.177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHC",7.4,0.356,0.454,0.723,56,191,3,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"25",25,1931,"Lefty Grove","AL","PHA",78,NA,10,41,115,8,23,0,12,0,3,0.2,0.22,0.226,0.446,31,4,2.06,1.077,41,30,5,288.2,249,10,62,175,"PHA",10,0.2,0.22,0.226,0,12,0,31,4,5,2.06,288.2,175,"Voting",TRUE
"26",26,1931,"Frankie Frisch","NL","STL",65,NA,3.9,131,518,96,161,4,82,28,45,0.311,0.368,0.396,0.764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STL",3.9,0.311,0.368,0.396,4,82,28,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"27",27,1932,"Jimmie Foxx","AL","PHA",75,5,10.4,154,585,151,213,58,169,3,116,0.364,0.469,0.749,1.218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHA",10.4,0.364,0.469,0.749,58,169,3,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"28",28,1932,"Chuck Klein","NL","PHI",78,6,7.5,154,650,152,226,38,137,20,60,0.348,0.404,0.646,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHI",7.5,0.348,0.404,0.646,38,137,20,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"29",29,1933,"Jimmie Foxx","AL","PHA",74,4,9,149,573,125,204,48,163,2,96,0.356,0.449,0.703,1.153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHA",9,0.356,0.449,0.703,48,163,2,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"30",30,1933,"Carl Hubbell","NL","NYG",77,NA,9,45,109,6,20,1,12,0,2,0.183,0.198,0.248,0.446,23,12,1.66,0.982,45,33,5,308.2,256,6,47,156,"NYG",9,0.183,0.198,0.248,1,12,0,23,12,5,1.66,308.2,156,"Voting",TRUE
"31",31,1934,"Mickey Cochrane","AL","DET",67,NA,4.5,129,437,74,140,2,75,8,78,0.32,0.428,0.412,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DET",4.5,0.32,0.428,0.412,2,75,8,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"32",32,1934,"Dizzy Dean","NL","STL",78,6,9.5,51,118,15,29,2,9,1,1,0.246,0.252,0.339,0.591,30,7,2.66,1.165,50,33,7,311.2,288,14,75,195,"STL",9.5,0.246,0.252,0.339,2,9,1,30,7,7,2.66,311.2,195,"Voting",TRUE
"33",33,1935,"Hank Greenberg","AL","DET",80,8,7.5,152,619,120,203,36,168,4,87,0.328,0.411,0.628,1.039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DET",7.5,0.328,0.411,0.628,36,168,4,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"34",34,1935,"Gabby Hartnett","NL","CHC",75,NA,4.9,116,413,67,142,13,91,1,41,0.344,0.404,0.545,0.949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHC",4.9,0.344,0.404,0.545,13,91,1,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"35",35,1936,"Lou Gehrig","AL","NYY",73,4,9.7,155,579,167,205,49,152,3,130,0.354,0.478,0.696,1.174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NYY",9.7,0.354,0.478,0.696,49,152,3,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"36",36,1936,"Carl Hubbell","NL","NYG",60,6,10.1,42,110,9,25,0,8,0,3,0.227,0.248,0.236,0.484,26,6,2.31,1.059,42,34,3,304,265,7,57,123,"NYG",10.1,0.227,0.248,0.236,0,8,0,26,6,3,2.31,304,123,"Voting",TRUE
"37",37,1937,"Charlie Gehringer","AL","DET",78,6,7.8,144,564,133,209,14,96,11,90,0.371,0.458,0.52,0.978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DET",7.8,0.371,0.458,0.52,14,96,11,NA,NA,NA,NA,NA,NA,"Voting",FALSE
"38",38,1937,"Joe Medwick","NL","STL",70,2,8.4,156,633,111,237,31,154,4,41,0.374,0.414,0.641,1.056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STL",8.4,0.374,0.414,0.641,31,154,4,NA,NA,NA,NA,NA,NA,"Voting",FALSE
