"","Year","Name","Lg","Team","Vote_PTS","First_Place","BS_G","AB","R","BS_H","BS_HR","BS_BB","OPS","WHIP","PS_G","GS","PS_H","PS_HR","PS_BB","WAR","BA","OBP","SLG","HR","RBI","SB","W","L","SV","ERA","IP","SO","Pitcher"
"30",1933,"Carl Hubbell","NL","NYG",77,NA,45,109,6,20,1,2,0.446,0.982,45,33,256,6,47,9,0.183,0.198,0.248,1,12,0,23,12,5,1.66,308.2,156,TRUE
"31",1934,"Mickey Cochrane","AL","DET",67,NA,129,437,74,140,2,78,0.84,NA,NA,NA,NA,NA,NA,4.5,0.32,0.428,0.412,2,75,8,NA,NA,NA,NA,NA,NA,FALSE
"32",1934,"Dizzy Dean","NL","STL",78,6,51,118,15,29,2,1,0.591,1.165,50,33,288,14,75,9.5,0.246,0.252,0.339,2,9,1,30,7,7,2.66,311.2,195,TRUE
"33",1935,"Hank Greenberg","AL","DET",80,8,152,619,120,203,36,87,1.039,NA,NA,NA,NA,NA,NA,7.5,0.328,0.411,0.628,36,168,4,NA,NA,NA,NA,NA,NA,FALSE
"34",1935,"Gabby Hartnett","NL","CHC",75,NA,116,413,67,142,13,41,0.949,NA,NA,NA,NA,NA,NA,4.9,0.344,0.404,0.545,13,91,1,NA,NA,NA,NA,NA,NA,FALSE
"35",1936,"Lou Gehrig","AL","NYY",73,4,155,579,167,205,49,130,1.174,NA,NA,NA,NA,NA,NA,9.7,0.354,0.478,0.696,49,152,3,NA,NA,NA,NA,NA,NA,FALSE
"36",1936,"Carl Hubbell","NL","NYG",60,6,42,110,9,25,0,3,0.484,1.059,42,34,265,7,57,10.1,0.227,0.248,0.236,0,8,0,26,6,3,2.31,304,123,TRUE
"37",1937,"Charlie Gehringer","AL","DET",78,6,144,564,133,209,14,90,0.978,NA,NA,NA,NA,NA,NA,7.8,0.371,0.458,0.52,14,96,11,NA,NA,NA,NA,NA,NA,FALSE
"38",1937,"Joe Medwick","NL","STL",70,2,156,633,111,237,31,41,1.056,NA,NA,NA,NA,NA,NA,8.4,0.374,0.414,0.641,31,154,4,NA,NA,NA,NA,NA,NA,FALSE
"39",1938,"Jimmie Foxx","AL","BOS",305,19,149,565,139,197,50,119,1.166,NA,NA,NA,NA,NA,NA,7.5,0.349,0.462,0.704,50,175,5,NA,NA,NA,NA,NA,NA,FALSE
"40",1938,"Ernie Lombardi","NL","CIN",229,10,129,489,60,167,19,40,0.915,NA,NA,NA,NA,NA,NA,4.8,0.342,0.391,0.524,19,95,0,NA,NA,NA,NA,NA,NA,FALSE
"41",1939,"Joe DiMaggio","AL","NYY",280,15,120,462,108,176,30,52,1.119,NA,NA,NA,NA,NA,NA,8.3,0.381,0.448,0.671,30,126,3,NA,NA,NA,NA,NA,NA,FALSE
"42",1939,"Bucky Walters","NL","CIN",303,18,40,120,16,39,1,5,0.79,1.125,39,36,250,15,109,9.8,0.325,0.357,0.433,1,16,1,27,11,0,2.29,319,137,TRUE
"43",1940,"Hank Greenberg","AL","DET",292,16,148,573,129,195,41,93,1.103,NA,NA,NA,NA,NA,NA,6.8,0.34,0.433,0.67,41,150,6,NA,NA,NA,NA,NA,NA,FALSE
"44",1940,"Frank McCormick","NL","CIN",274,16,155,618,93,191,19,52,0.85,NA,NA,NA,NA,NA,NA,5.3,0.309,0.367,0.482,19,127,2,NA,NA,NA,NA,NA,NA,FALSE
"45",1941,"Joe DiMaggio","AL","NYY",291,15,139,541,122,193,30,76,1.083,NA,NA,NA,NA,NA,NA,9.3,0.357,0.44,0.643,30,125,4,NA,NA,NA,NA,NA,NA,FALSE
"46",1941,"Dolph Camilli","NL","BRO",300,19,149,529,92,151,34,104,0.962,NA,NA,NA,NA,NA,NA,6.8,0.285,0.407,0.556,34,120,3,NA,NA,NA,NA,NA,NA,FALSE
"47",1942,"Joe Gordon","AL","NYY",270,12,147,538,88,173,18,79,0.9,NA,NA,NA,NA,NA,NA,7.7,0.322,0.409,0.491,18,103,12,NA,NA,NA,NA,NA,NA,FALSE
"48",1942,"Mort Cooper","NL","STL",263,13,37,103,6,19,0,3,0.402,0.987,37,35,207,9,68,8.3,0.184,0.208,0.194,0,7,0,22,7,0,1.78,278.2,152,TRUE
"49",1943,"Spud Chandler","AL","NYY",246,12,30,97,9,25,2,1,0.658,0.992,30,30,197,5,54,7.3,0.258,0.287,0.371,2,7,0,20,4,0,1.64,253,134,TRUE
"50",1943,"Stan Musial","NL","STL",267,13,157,617,108,220,13,72,0.988,NA,NA,NA,NA,NA,NA,9.5,0.357,0.425,0.562,13,81,9,NA,NA,NA,NA,NA,NA,FALSE
"51",1944,"Hal Newhouser","AL","DET",236,7,47,120,10,29,0,6,0.553,1.172,47,34,264,6,102,8.4,0.242,0.278,0.275,0,5,1,29,9,2,2.22,312.1,187,TRUE
"52",1944,"Marty Marion","NL","STL",190,7,144,506,50,135,6,43,0.686,NA,NA,NA,NA,NA,NA,4.5,0.267,0.324,0.362,6,63,1,NA,NA,NA,NA,NA,NA,FALSE
"53",1945,"Hal Newhouser","AL","DET",236,9,40,109,8,28,0,7,0.623,1.114,40,36,239,5,110,12.2,0.257,0.302,0.321,0,17,0,25,9,2,1.81,313.1,212,TRUE
"54",1945,"Phil Cavarretta","NL","CHC",279,15,132,498,94,177,6,81,0.949,NA,NA,NA,NA,NA,NA,5.9,0.355,0.449,0.5,6,97,5,NA,NA,NA,NA,NA,NA,FALSE
"55",1946,"Ted Williams","AL","BOS",224,9,150,514,142,176,38,156,1.164,NA,NA,NA,NA,NA,NA,10.6,0.342,0.497,0.667,38,123,0,NA,NA,NA,NA,NA,NA,FALSE
"56",1946,"Stan Musial","NL","STL",319,22,156,624,124,228,16,73,1.021,NA,NA,NA,NA,NA,NA,9.3,0.365,0.434,0.587,16,103,7,NA,NA,NA,NA,NA,NA,FALSE
"57",1947,"Joe DiMaggio","AL","NYY",202,8,141,534,97,168,20,64,0.913,NA,NA,NA,NA,NA,NA,4.7,0.315,0.391,0.522,20,97,3,NA,NA,NA,NA,NA,NA,FALSE
"58",1947,"Bob Elliott","NL","BSN",205,9,150,555,93,176,22,87,0.927,NA,NA,NA,NA,NA,NA,6.5,0.317,0.41,0.517,22,113,3,NA,NA,NA,NA,NA,NA,FALSE
"59",1948,"Lou Boudreau","AL","CLE",324,22,152,560,116,199,18,98,0.987,NA,NA,NA,NA,NA,NA,10.4,0.355,0.453,0.534,18,106,3,NA,NA,NA,NA,NA,NA,FALSE
"60",1948,"Stan Musial","NL","STL",303,18,155,611,135,230,39,79,1.152,NA,NA,NA,NA,NA,NA,11.3,0.376,0.45,0.702,39,131,7,NA,NA,NA,NA,NA,NA,FALSE
"61",1949,"Ted Williams","AL","BOS",272,13,155,566,150,194,43,162,1.141,NA,NA,NA,NA,NA,NA,9,0.343,0.49,0.65,43,159,1,NA,NA,NA,NA,NA,NA,FALSE
"62",1949,"Jackie Robinson","NL","BRO",264,12,156,593,122,203,16,86,0.96,NA,NA,NA,NA,NA,NA,9.3,0.342,0.432,0.528,16,124,37,NA,NA,NA,NA,NA,NA,FALSE
"63",1950,"Phil Rizzuto","AL","NYY",284,16,155,617,125,200,7,92,0.857,NA,NA,NA,NA,NA,NA,6.8,0.324,0.418,0.439,7,66,12,NA,NA,NA,NA,NA,NA,FALSE
"64",1950,"Jim Konstanty","NL","PHI",286,18,74,37,0,4,0,0,0.216,1.039,74,0,108,11,50,4.4,0.108,0.108,0.108,0,3,0,16,7,22,2.66,152,56,TRUE
"65",1951,"Yogi Berra","AL","NYY",184,6,141,547,92,161,27,44,0.842,NA,NA,NA,NA,NA,NA,5.3,0.294,0.35,0.492,27,88,5,NA,NA,NA,NA,NA,NA,FALSE
"66",1951,"Roy Campanella","NL","BRO",243,11,143,505,90,164,33,53,0.983,NA,NA,NA,NA,NA,NA,6.9,0.325,0.393,0.59,33,108,1,NA,NA,NA,NA,NA,NA,FALSE
"67",1952,"Bobby Shantz","AL","PHA",280,16,34,96,13,19,0,5,0.513,1.048,33,33,230,21,63,9.4,0.198,0.252,0.26,0,12,0,24,7,0,2.48,279.2,152,TRUE
"68",1952,"Hank Sauer","NL","CHC",226,8,151,567,89,153,37,77,0.892,NA,NA,NA,NA,NA,NA,5.6,0.27,0.361,0.531,37,121,1,NA,NA,NA,NA,NA,NA,FALSE
"69",1953,"Al Rosen","AL","CLE",336,24,155,599,115,201,43,85,1.034,NA,NA,NA,NA,NA,NA,10.2,0.336,0.422,0.613,43,145,8,NA,NA,NA,NA,NA,NA,FALSE
"70",1953,"Roy Campanella","NL","BRO",297,17,144,519,103,162,41,67,1.006,NA,NA,NA,NA,NA,NA,6.8,0.312,0.395,0.611,41,142,4,NA,NA,NA,NA,NA,NA,FALSE
"71",1954,"Yogi Berra","AL","NYY",230,7,151,584,88,179,22,56,0.855,NA,NA,NA,NA,NA,NA,5.3,0.307,0.367,0.488,22,125,0,NA,NA,NA,NA,NA,NA,FALSE
"72",1954,"Willie Mays","NL","NYG",283,16,151,565,119,195,41,66,1.078,NA,NA,NA,NA,NA,NA,10.5,0.345,0.411,0.667,41,110,8,NA,NA,NA,NA,NA,NA,FALSE
"73",1955,"Yogi Berra","AL","NYY",218,7,147,541,84,147,27,60,0.819,NA,NA,NA,NA,NA,NA,4.5,0.272,0.349,0.47,27,108,1,NA,NA,NA,NA,NA,NA,FALSE
"74",1955,"Roy Campanella","NL","BRO",226,8,123,446,81,142,32,56,0.978,NA,NA,NA,NA,NA,NA,5.2,0.318,0.395,0.583,32,107,2,NA,NA,NA,NA,NA,NA,FALSE
"75",1956,"Mickey Mantle","AL","NYY",336,24,150,533,132,188,52,112,1.169,NA,NA,NA,NA,NA,NA,11.2,0.353,0.464,0.705,52,130,10,NA,NA,NA,NA,NA,NA,FALSE
"76",1956,"Don Newcombe","NL","BRO",223,8,52,111,13,26,2,12,0.654,0.989,38,36,219,33,46,5.3,0.234,0.312,0.342,2,16,1,27,7,0,3.06,268,139,TRUE
"77",1957,"Mickey Mantle","AL","NYY",233,6,144,474,121,173,34,146,1.177,NA,NA,NA,NA,NA,NA,11.3,0.365,0.512,0.665,34,94,16,NA,NA,NA,NA,NA,NA,FALSE
"78",1957,"Henry Aaron","NL","MLN",239,9,151,615,118,198,44,57,0.978,NA,NA,NA,NA,NA,NA,8,0.322,0.378,0.6,44,132,1,NA,NA,NA,NA,NA,NA,FALSE
"79",1958,"Jackie Jensen","AL","BOS",233,9,154,548,83,157,35,99,0.931,NA,NA,NA,NA,NA,NA,4.9,0.286,0.396,0.535,35,122,9,NA,NA,NA,NA,NA,NA,FALSE
"80",1958,"Ernie Banks","NL","CHC",283,16,154,617,119,193,47,52,0.98,NA,NA,NA,NA,NA,NA,9.3,0.313,0.366,0.614,47,129,4,NA,NA,NA,NA,NA,NA,FALSE
"81",1959,"Nellie Fox","AL","CHW",295,16,156,624,84,191,2,71,0.77,NA,NA,NA,NA,NA,NA,6.1,0.306,0.38,0.389,2,70,5,NA,NA,NA,NA,NA,NA,FALSE
"82",1959,"Ernie Banks","NL","CHC",232,10,155,589,97,179,45,64,0.97,NA,NA,NA,NA,NA,NA,10.2,0.304,0.374,0.596,45,143,2,NA,NA,NA,NA,NA,NA,FALSE
"83",1960,"Roger Maris","AL","NYY",225,8,136,499,98,141,39,70,0.952,NA,NA,NA,NA,NA,NA,7.5,0.283,0.371,0.581,39,112,2,NA,NA,NA,NA,NA,NA,FALSE
"84",1960,"Dick Groat","NL","PIT",276,16,138,573,85,186,2,39,0.766,NA,NA,NA,NA,NA,NA,6.1,0.325,0.371,0.394,2,50,0,NA,NA,NA,NA,NA,NA,FALSE
"85",1961,"Roger Maris","AL","NYY",202,7,161,590,132,159,61,94,0.993,NA,NA,NA,NA,NA,NA,6.9,0.269,0.372,0.62,61,141,0,NA,NA,NA,NA,NA,NA,FALSE
"86",1961,"Frank Robinson","NL","CIN",219,15,153,545,117,176,37,71,1.015,NA,NA,NA,NA,NA,NA,7.7,0.323,0.404,0.611,37,124,22,NA,NA,NA,NA,NA,NA,FALSE
"87",1962,"Mickey Mantle","AL","NYY",234,13,123,377,96,121,30,122,1.091,NA,NA,NA,NA,NA,NA,6,0.321,0.486,0.605,30,89,9,NA,NA,NA,NA,NA,NA,FALSE
"88",1962,"Maury Wills","NL","LAD",209,8,165,695,130,208,6,51,0.72,NA,NA,NA,NA,NA,NA,6,0.299,0.347,0.373,6,48,104,NA,NA,NA,NA,NA,NA,FALSE
"89",1963,"Elston Howard","AL","NYY",248,15,135,487,75,140,28,35,0.869,NA,NA,NA,NA,NA,NA,5.2,0.287,0.342,0.528,28,85,0,NA,NA,NA,NA,NA,NA,FALSE
"90",1963,"Sandy Koufax","NL","LAD",237,14,40,110,3,7,1,6,0.202,0.875,40,40,214,18,58,9.9,0.064,0.111,0.091,1,7,0,25,5,0,1.88,311,306,TRUE
"91",1964,"Brooks Robinson","AL","BAL",269,18,163,612,82,194,28,51,0.889,NA,NA,NA,NA,NA,NA,8.1,0.317,0.368,0.521,28,118,1,NA,NA,NA,NA,NA,NA,FALSE
"92",1964,"Ken Boyer","NL","STL",243,14,162,628,100,185,24,70,0.854,NA,NA,NA,NA,NA,NA,6.1,0.295,0.365,0.489,24,119,3,NA,NA,NA,NA,NA,NA,FALSE
"93",1965,"Zoilo Versalles","AL","MIN",275,19,160,666,126,182,19,41,0.781,NA,NA,NA,NA,NA,NA,7.2,0.273,0.319,0.462,19,77,27,NA,NA,NA,NA,NA,NA,FALSE
"94",1965,"Willie Mays","NL","SFG",224,9,157,558,118,177,52,76,1.043,NA,NA,NA,NA,NA,NA,11.2,0.317,0.398,0.645,52,112,9,NA,NA,NA,NA,NA,NA,FALSE
"95",1966,"Frank Robinson","AL","BAL",280,20,155,576,122,182,49,87,1.047,NA,NA,NA,NA,NA,NA,7.7,0.316,0.41,0.637,49,122,8,NA,NA,NA,NA,NA,NA,FALSE
"96",1966,"Roberto Clemente","NL","PIT",218,8,154,638,105,202,29,46,0.896,NA,NA,NA,NA,NA,NA,8.2,0.317,0.36,0.536,29,119,7,NA,NA,NA,NA,NA,NA,FALSE
