"","Year","Name","Lg","Team","Vote_PTS","First_Place","BS_G","AB","R","BS_H","BS_HR","BS_BB","OPS","WHIP","PS_G","GS","PS_H","PS_HR","PS_BB","WAR","BA","OBP","SLG","HR","RBI","SB","W","L","SV","ERA","IP","SO","Pitcher"
"130",1983,"Dale Murphy","NL","ATL",318,21,162,589,131,178,36,90,0.933,NA,NA,NA,NA,NA,NA,7.1,0.302,0.393,0.54,36,121,30,NA,NA,NA,NA,NA,NA,FALSE
"131",1984,"Willie Hernández","AL","DET",306,16,2,0,0,0,0,0,NA,0.941,80,0,96,6,36,4.8,NA,NA,NA,NA,NA,NA,9,3,32,1.92,140.1,112,TRUE
"132",1984,"Ryne Sandberg","NL","CHC",326,22,156,636,114,200,19,52,0.887,NA,NA,NA,NA,NA,NA,8.5,0.314,0.367,0.52,19,84,32,NA,NA,NA,NA,NA,NA,FALSE
"133",1985,"Don Mattingly","AL","NYY",367,23,159,652,107,211,35,56,0.939,NA,NA,NA,NA,NA,NA,6.5,0.324,0.371,0.567,35,145,2,NA,NA,NA,NA,NA,NA,FALSE
"134",1985,"Willie McGee","NL","STL",280,14,152,612,114,216,10,34,0.887,NA,NA,NA,NA,NA,NA,8.2,0.353,0.384,0.503,10,82,56,NA,NA,NA,NA,NA,NA,FALSE
"135",1986,"Roger Clemens","AL","BOS",339,19,0,0,0,0,0,0,NA,0.969,33,33,179,21,67,8.8,NA,NA,NA,NA,NA,NA,24,4,0,2.48,254,238,TRUE
"136",1986,"Mike Schmidt","NL","PHI",287,15,160,552,97,160,37,89,0.937,NA,NA,NA,NA,NA,NA,6.1,0.29,0.39,0.547,37,119,1,NA,NA,NA,NA,NA,NA,FALSE
"137",1987,"George Bell","AL","TOR",332,16,156,610,111,188,47,39,0.957,NA,NA,NA,NA,NA,NA,5,0.308,0.352,0.605,47,134,5,NA,NA,NA,NA,NA,NA,FALSE
"138",1987,"Andre Dawson","NL","CHC",269,11,153,621,90,178,49,32,0.896,NA,NA,NA,NA,NA,NA,4,0.287,0.328,0.568,49,137,11,NA,NA,NA,NA,NA,NA,FALSE
"139",1988,"José Canseco","AL","OAK",392,28,158,610,120,187,42,78,0.959,NA,NA,NA,NA,NA,NA,7.3,0.307,0.391,0.569,42,124,40,NA,NA,NA,NA,NA,NA,FALSE
"140",1988,"Kirk Gibson","NL","LAD",272,13,150,542,106,157,25,73,0.86,NA,NA,NA,NA,NA,NA,6.5,0.29,0.377,0.483,25,76,31,NA,NA,NA,NA,NA,NA,FALSE
"141",1989,"Robin Yount","AL","MIL",256,8,160,614,101,195,21,63,0.896,NA,NA,NA,NA,NA,NA,5.8,0.318,0.384,0.511,21,103,19,NA,NA,NA,NA,NA,NA,FALSE
"142",1989,"Kevin Mitchell","NL","SFG",314,20,154,543,100,158,47,87,1.023,NA,NA,NA,NA,NA,NA,6.9,0.291,0.388,0.635,47,125,3,NA,NA,NA,NA,NA,NA,FALSE
"143",1990,"Rickey Henderson","AL","OAK",317,14,136,489,119,159,28,97,1.016,NA,NA,NA,NA,NA,NA,9.9,0.325,0.439,0.577,28,61,65,NA,NA,NA,NA,NA,NA,FALSE
"144",1990,"Barry Bonds","NL","PIT",331,23,151,519,104,156,33,93,0.97,NA,NA,NA,NA,NA,NA,9.7,0.301,0.406,0.565,33,114,52,NA,NA,NA,NA,NA,NA,FALSE
"145",1991,"Cal Ripken Jr.","AL","BAL",318,15,162,650,99,210,34,53,0.94,NA,NA,NA,NA,NA,NA,11.5,0.323,0.374,0.566,34,114,6,NA,NA,NA,NA,NA,NA,FALSE
"146",1991,"Terry Pendleton","NL","ATL",274,12,153,586,94,187,22,43,0.88,NA,NA,NA,NA,NA,NA,6.1,0.319,0.363,0.517,22,86,10,NA,NA,NA,NA,NA,NA,FALSE
"147",1992,"Dennis Eckersley","AL","OAK",306,15,0,0,0,0,0,0,NA,0.913,69,0,62,5,11,2.9,NA,NA,NA,NA,NA,NA,7,1,51,1.91,80,93,TRUE
"148",1992,"Barry Bonds","NL","PIT",304,18,140,473,109,147,34,127,1.08,NA,NA,NA,NA,NA,NA,9,0.311,0.456,0.624,34,103,39,NA,NA,NA,NA,NA,NA,FALSE
"149",1993,"Frank Thomas","AL","CHW",392,28,153,549,106,174,41,112,1.033,NA,NA,NA,NA,NA,NA,6.2,0.317,0.426,0.607,41,128,4,NA,NA,NA,NA,NA,NA,FALSE
"150",1993,"Barry Bonds","NL","SFG",372,24,159,539,129,181,46,126,1.136,NA,NA,NA,NA,NA,NA,9.9,0.336,0.458,0.677,46,123,29,NA,NA,NA,NA,NA,NA,FALSE
"151",1994,"Frank Thomas","AL","CHW",372,24,113,399,106,141,38,109,1.217,NA,NA,NA,NA,NA,NA,6.4,0.353,0.487,0.729,38,101,2,NA,NA,NA,NA,NA,NA,FALSE
"152",1994,"Jeff Bagwell","NL","HOU",392,28,110,400,104,147,39,65,1.201,NA,NA,NA,NA,NA,NA,8.2,0.368,0.451,0.75,39,116,15,NA,NA,NA,NA,NA,NA,FALSE
"153",1995,"Mo Vaughn","AL","BOS",308,12,140,550,98,165,39,68,0.963,NA,NA,NA,NA,NA,NA,4.3,0.3,0.388,0.575,39,126,11,NA,NA,NA,NA,NA,NA,FALSE
"154",1995,"Barry Larkin","NL","CIN",281,11,131,496,98,158,15,61,0.886,NA,NA,NA,NA,NA,NA,5.9,0.319,0.394,0.492,15,66,51,NA,NA,NA,NA,NA,NA,FALSE
"155",1996,"Juan González","AL","TEX",290,11,134,541,89,170,47,45,1.011,NA,NA,NA,NA,NA,NA,3.8,0.314,0.368,0.643,47,144,2,NA,NA,NA,NA,NA,NA,FALSE
"156",1996,"Ken Caminiti","NL","SDP",392,28,146,546,109,178,40,78,1.028,NA,NA,NA,NA,NA,NA,7.6,0.326,0.408,0.621,40,130,11,NA,NA,NA,NA,NA,NA,FALSE
"157",1997,"Ken Griffey Jr.","AL","SEA",392,28,157,608,125,185,56,76,1.028,NA,NA,NA,NA,NA,NA,9.1,0.304,0.382,0.646,56,147,15,NA,NA,NA,NA,NA,NA,FALSE
"158",1997,"Larry Walker","NL","COL",359,22,153,568,143,208,49,78,1.172,NA,NA,NA,NA,NA,NA,9.8,0.366,0.452,0.72,49,130,33,NA,NA,NA,NA,NA,NA,FALSE
"159",1998,"Juan González","AL","TEX",357,21,154,606,110,193,45,46,0.997,NA,NA,NA,NA,NA,NA,4.9,0.318,0.366,0.63,45,157,2,NA,NA,NA,NA,NA,NA,FALSE
"160",1998,"Sammy Sosa","NL","CHC",438,30,159,643,134,198,66,73,1.024,NA,NA,NA,NA,NA,NA,6.5,0.308,0.377,0.647,66,158,18,NA,NA,NA,NA,NA,NA,FALSE
"161",1999,"Iván Rodríguez","AL","TEX",252,7,144,600,116,199,35,24,0.914,NA,NA,NA,NA,NA,NA,6.4,0.332,0.356,0.558,35,113,25,NA,NA,NA,NA,NA,NA,FALSE
"162",1999,"Chipper Jones","NL","ATL",432,29,157,567,116,181,45,126,1.074,NA,NA,NA,NA,NA,NA,6.9,0.319,0.441,0.633,45,110,25,NA,NA,NA,NA,NA,NA,FALSE
"163",2000,"Jason Giambi","AL","OAK",317,14,152,510,108,170,43,137,1.123,NA,NA,NA,NA,NA,NA,7.8,0.333,0.476,0.647,43,137,2,NA,NA,NA,NA,NA,NA,FALSE
"164",2000,"Jeff Kent","NL","SFG",392,22,159,587,114,196,33,90,1.021,NA,NA,NA,NA,NA,NA,7.2,0.334,0.424,0.596,33,125,12,NA,NA,NA,NA,NA,NA,FALSE
"165",2001,"Ichiro Suzuki","AL","SEA",289,11,157,692,127,242,8,30,0.838,NA,NA,NA,NA,NA,NA,7.7,0.35,0.381,0.457,8,69,56,NA,NA,NA,NA,NA,NA,FALSE
"166",2001,"Barry Bonds","NL","SFG",438,30,153,476,129,156,73,177,1.379,NA,NA,NA,NA,NA,NA,11.9,0.328,0.515,0.863,73,137,13,NA,NA,NA,NA,NA,NA,FALSE
"167",2002,"Miguel Tejada","AL","OAK",356,21,162,662,108,204,34,38,0.861,NA,NA,NA,NA,NA,NA,5.7,0.308,0.354,0.508,34,131,7,NA,NA,NA,NA,NA,NA,FALSE
"168",2002,"Barry Bonds","NL","SFG",448,32,143,403,117,149,46,198,1.381,NA,NA,NA,NA,NA,NA,11.8,0.37,0.582,0.799,46,110,9,NA,NA,NA,NA,NA,NA,FALSE
"169",2003,"Alex Rodriguez","AL","TEX",242,6,161,607,124,181,47,87,0.995,NA,NA,NA,NA,NA,NA,8.4,0.298,0.396,0.6,47,118,17,NA,NA,NA,NA,NA,NA,FALSE
"170",2003,"Barry Bonds","NL","SFG",426,28,130,390,111,133,45,148,1.278,NA,NA,NA,NA,NA,NA,9.2,0.341,0.529,0.749,45,90,7,NA,NA,NA,NA,NA,NA,FALSE
"171",2004,"Vladimir Guerrero","AL","ANA",354,21,156,612,124,206,39,52,0.989,NA,NA,NA,NA,NA,NA,5.6,0.337,0.391,0.598,39,126,15,NA,NA,NA,NA,NA,NA,FALSE
"172",2004,"Barry Bonds","NL","SFG",407,24,147,373,129,135,45,232,1.422,NA,NA,NA,NA,NA,NA,10.6,0.362,0.609,0.812,45,101,6,NA,NA,NA,NA,NA,NA,FALSE
"173",2005,"Alex Rodriguez","AL","NYY",331,16,162,605,124,194,48,91,1.031,NA,NA,NA,NA,NA,NA,9.4,0.321,0.421,0.61,48,130,21,NA,NA,NA,NA,NA,NA,FALSE
"174",2005,"Albert Pujols","NL","STL",378,18,161,591,129,195,41,97,1.039,NA,NA,NA,NA,NA,NA,8.4,0.33,0.43,0.609,41,117,16,NA,NA,NA,NA,NA,NA,FALSE
"175",2006,"Justin Morneau","AL","MIN",320,15,157,592,97,190,34,53,0.934,NA,NA,NA,NA,NA,NA,4.3,0.321,0.375,0.559,34,130,3,NA,NA,NA,NA,NA,NA,FALSE
"176",2006,"Ryan Howard","NL","PHI",388,20,159,581,104,182,58,108,1.084,NA,NA,NA,NA,NA,NA,5.2,0.313,0.425,0.659,58,149,0,NA,NA,NA,NA,NA,NA,FALSE
"177",2007,"Alex Rodriguez","AL","NYY",382,26,158,583,143,183,54,95,1.067,NA,NA,NA,NA,NA,NA,9.4,0.314,0.422,0.645,54,156,24,NA,NA,NA,NA,NA,NA,FALSE
"178",2007,"Jimmy Rollins","NL","PHI",353,16,162,716,139,212,30,49,0.875,NA,NA,NA,NA,NA,NA,6.1,0.296,0.344,0.531,30,94,41,NA,NA,NA,NA,NA,NA,FALSE
"179",2008,"Dustin Pedroia","AL","BOS",317,16,157,653,118,213,17,50,0.869,NA,NA,NA,NA,NA,NA,7,0.326,0.376,0.493,17,83,20,NA,NA,NA,NA,NA,NA,FALSE
"180",2008,"Albert Pujols","NL","STL",369,18,148,524,100,187,37,104,1.114,NA,NA,NA,NA,NA,NA,9.2,0.357,0.462,0.653,37,116,7,NA,NA,NA,NA,NA,NA,FALSE
"181",2009,"Joe Mauer","AL","MIN",387,27,138,523,94,191,28,76,1.031,NA,NA,NA,NA,NA,NA,7.8,0.365,0.444,0.587,28,96,4,NA,NA,NA,NA,NA,NA,FALSE
"182",2009,"Albert Pujols","NL","STL",448,32,160,568,124,186,47,115,1.101,NA,NA,NA,NA,NA,NA,9.7,0.327,0.443,0.658,47,135,16,NA,NA,NA,NA,NA,NA,FALSE
"183",2010,"Josh Hamilton","AL","TEX",358,22,133,518,95,186,32,43,1.044,NA,NA,NA,NA,NA,NA,8.7,0.359,0.411,0.633,32,100,8,NA,NA,NA,NA,NA,NA,FALSE
"184",2010,"Joey Votto","NL","CIN",443,31,150,547,106,177,37,91,1.024,NA,NA,NA,NA,NA,NA,7,0.324,0.424,0.6,37,113,16,NA,NA,NA,NA,NA,NA,FALSE
"185",2011,"Justin Verlander","AL","DET",280,13,1,4,0,0,0,0,0,0.92,34,34,174,24,57,8.6,0,0,0,0,0,0,24,5,0,2.4,251,250,TRUE
"186",2011,"Ryan Braun","NL","MIL",388,20,150,563,109,187,33,58,0.994,NA,NA,NA,NA,NA,NA,7.7,0.332,0.397,0.597,33,111,33,NA,NA,NA,NA,NA,NA,FALSE
"187",2012,"Miguel Cabrera","AL","DET",362,22,161,622,109,205,44,66,0.999,NA,NA,NA,NA,NA,NA,7.1,0.33,0.393,0.606,44,139,4,NA,NA,NA,NA,NA,NA,FALSE
"188",2012,"Buster Posey","NL","SFG",422,27,148,530,78,178,24,69,0.957,NA,NA,NA,NA,NA,NA,7.6,0.336,0.408,0.549,24,103,1,NA,NA,NA,NA,NA,NA,FALSE
"189",2013,"Miguel Cabrera","AL","DET",385,23,148,555,103,193,44,90,1.078,NA,NA,NA,NA,NA,NA,7.5,0.348,0.442,0.636,44,137,3,NA,NA,NA,NA,NA,NA,FALSE
"190",2013,"Andrew McCutchen","NL","PIT",409,28,157,583,97,185,21,78,0.911,NA,NA,NA,NA,NA,NA,7.8,0.317,0.404,0.508,21,84,27,NA,NA,NA,NA,NA,NA,FALSE
"191",2014,"Mike Trout","AL","LAA",420,30,157,602,115,173,36,83,0.939,NA,NA,NA,NA,NA,NA,7.7,0.287,0.377,0.561,36,111,16,NA,NA,NA,NA,NA,NA,FALSE
"192",2014,"Clayton Kershaw","NL","LAD",355,18,26,63,5,11,0,4,0.442,0.857,27,27,139,9,31,8.2,0.175,0.235,0.206,0,3,1,21,3,0,1.77,198.1,239,TRUE
"193",2015,"Josh Donaldson","AL","TOR",385,23,158,620,122,184,41,73,0.939,NA,NA,NA,NA,NA,NA,7.1,0.297,0.371,0.568,41,123,6,NA,NA,NA,NA,NA,NA,FALSE
"194",2015,"Bryce Harper","NL","WSN",420,30,153,521,118,172,42,124,1.109,NA,NA,NA,NA,NA,NA,9.7,0.33,0.46,0.649,42,99,6,NA,NA,NA,NA,NA,NA,FALSE
"195",2016,"Mike Trout","AL","LAA",356,19,159,549,123,173,29,116,0.991,NA,NA,NA,NA,NA,NA,10.5,0.315,0.441,0.55,29,100,30,NA,NA,NA,NA,NA,NA,FALSE
"196",2016,"Kris Bryant","NL","CHC",415,29,155,603,121,176,39,75,0.939,NA,NA,NA,NA,NA,NA,7.3,0.292,0.385,0.554,39,102,8,NA,NA,NA,NA,NA,NA,FALSE
"197",2017,"Jose Altuve","AL","HOU",405,27,153,590,112,204,24,58,0.957,NA,NA,NA,NA,NA,NA,7.7,0.346,0.41,0.547,24,81,32,NA,NA,NA,NA,NA,NA,FALSE
"198",2017,"Giancarlo Stanton","NL","MIA",302,10,159,597,123,168,59,85,1.007,NA,NA,NA,NA,NA,NA,7.9,0.281,0.376,0.631,59,132,2,NA,NA,NA,NA,NA,NA,FALSE
"199",2018,"Mookie Betts","AL","BOS",410,28,136,520,129,180,32,81,1.078,NA,NA,NA,NA,NA,NA,10.7,0.346,0.438,0.64,32,80,30,NA,NA,NA,NA,NA,NA,FALSE
"200",2018,"Christian Yelich","NL","MIL",415,29,147,574,118,187,36,68,1,NA,NA,NA,NA,NA,NA,7.3,0.326,0.402,0.598,36,110,22,NA,NA,NA,NA,NA,NA,FALSE
"201",2019,"Mike Trout","AL","LAA",355,17,134,470,110,137,45,110,1.083,NA,NA,NA,NA,NA,NA,7.9,0.291,0.438,0.645,45,104,11,NA,NA,NA,NA,NA,NA,FALSE
"202",2019,"Cody Bellinger","NL","LAD",362,19,156,558,121,170,47,95,1.035,NA,NA,NA,NA,NA,NA,8.6,0.305,0.406,0.629,47,115,15,NA,NA,NA,NA,NA,NA,FALSE
"203",2020,"José Abreu","AL","CHW",374,21,60,240,43,76,19,18,0.987,NA,NA,NA,NA,NA,NA,3,0.317,0.37,0.617,19,60,0,NA,NA,NA,NA,NA,NA,FALSE
"204",2020,"Freddie Freeman","NL","ATL",410,28,60,214,51,73,13,45,1.102,NA,NA,NA,NA,NA,NA,3.3,0.341,0.462,0.64,13,53,2,NA,NA,NA,NA,NA,NA,FALSE
"205",2021,"Shohei Ohtani","AL","LAA",420,30,155,537,103,138,46,96,0.965,1.09,23,23,98,15,44,8.9,0.257,0.372,0.592,46,100,26,9,2,0,3.18,130.1,156,TRUE
"206",2021,"Bryce Harper","NL","PHI",348,17,141,488,101,151,35,100,1.044,NA,NA,NA,NA,NA,NA,5.9,0.309,0.429,0.615,35,84,13,NA,NA,NA,NA,NA,NA,FALSE
"207",2022,"Aaron Judge","AL","NYY",410,28,157,570,133,177,62,111,1.111,NA,NA,NA,NA,NA,NA,10.5,0.311,0.425,0.686,62,131,16,NA,NA,NA,NA,NA,NA,FALSE
"208",2022,"Paul Goldschmidt","NL","STL",380,22,151,561,106,178,35,79,0.981,NA,NA,NA,NA,NA,NA,7.7,0.317,0.404,0.578,35,115,7,NA,NA,NA,NA,NA,NA,FALSE
"209",2023,"Shohei Ohtani","AL","LAA",420,30,135,497,102,151,44,91,1.066,1.061,23,23,85,18,55,9.9,0.304,0.412,0.654,44,95,20,10,5,0,3.14,132,167,TRUE
"210",2023,"Ronald Acuña Jr.","NL","ATL",420,30,159,643,149,217,41,80,1.012,NA,NA,NA,NA,NA,NA,8.2,0.337,0.416,0.596,41,106,73,NA,NA,NA,NA,NA,NA,FALSE
